% 1. Title: gcc output parameters
%
% 2. Sources: gem5 runs
@RELATION trainingSet

@ATTRIBUTE issueWidth	{1, 2, 4, 8}
@ATTRIBUTE l2Size	{64, 256, 1024}
@ATTRIBUTE l1Size	{16, 32, 64}
@ATTRIBUTE l1Assoc	{2, 4}
@ATTRIBUTE reorderBuffer	{0, 64, 128, 200}
@ATTRIBUTE intAlus	{1, 3, 6}
@ATTRIBUTE intMuls	{1, 2}
@ATTRIBUTE fp	{0, 1, 2}
@ATTRIBUTE executionModel	{0, 1}
@ATTRIBUTE performance	NUMERIC
@ATTRIBUTE intAccessR	NUMERIC
@ATTRIBUTE FPAccessR	NUMERIC
@ATTRIBUTE BranchAccessR	NUMERIC
@ATTRIBUTE DataAccessR	NUMERIC
@ATTRIBUTE DataFPKB	NUMERIC
@ATTRIBUTE InstFPKB	NUMERIC
@ATTRIBUTE OperandAvg	NUMERIC
@ATTRIBUTE RegPC	NUMERIC
@ATTRIBUTE DataReuseAvg	NUMERIC
@ATTRIBUTE 32InstReuse	NUMERIC
@ATTRIBUTE LargeReuse   NUMERIC

@DATA
4,256,32,2,0,3,1,0,1,0.6237,0.8163,0.0,0.1837,0.328,32.0008,0.0015,1.3347,5.122,43.6931,0.9167,0.0833
4,256,32,2,0,3,1,2,1,0.6237,0.8163,0.0,0.1837,0.328,32.0008,0.0015,1.3347,5.122,43.6931,0.9167,0.0833
4,256,32,2,0,3,1,2,1,0.6237,0.8163,0.0,0.1837,0.328,32.0008,0.0015,1.3347,5.122,43.6931,0.9167,0.0833
4,256,32,2,0,6,1,1,1,0.6237,0.8163,0.0,0.1837,0.328,32.0008,0.0015,1.3347,5.122,43.6931,0.9167,0.0833
4,256,16,2,0,3,1,1,1,0.6237,0.8163,0.0,0.1837,0.328,32.0008,0.0015,1.3347,5.122,43.6931,0.9167,0.0833
4,256,64,4,0,3,1,1,1,0.6237,0.8163,0.0,0.1837,0.328,32.0008,0.0015,1.3347,5.122,43.6931,0.9167,0.0833
4,64,32,2,0,3,1,1,1,0.6237,0.8163,0.0,0.1837,0.328,32.0008,0.0015,1.3347,5.122,43.6931,0.9167,0.0833
4,1024,32,2,0,3,1,1,1,0.6237,0.8163,0.0,0.1837,0.328,32.0008,0.0015,1.3347,5.122,43.6931,0.9167,0.0833
4,256,32,2,0,3,2,1,1,0.6237,0.8163,0.0,0.1837,0.328,32.0008,0.0015,1.3347,5.122,43.6931,0.9167,0.0833
4,64,32,2,128,3,1,1,0,0.7088,0.6649,0.0006,0.226,0.4072,15.7106,0.1713,1.6617,3.5357,4.2411,0.7891,0.0095
4,256,32,2,128,3,1,1,0,1,0.6649,0.0006,0.226,0.4072,15.7106,0.1713,1.6617,3.5357,4.2411,0.7891,0.0095
4,1024,32,2,128,3,1,1,0,1.0550,0.6649,0.0006,0.226,0.4072,15.7106,0.1713,1.6617,3.5357,4.2411,0.7891,0.0095
4,256,32,2,200,3,1,2,0,1.0013,0.6649,0.0006,0.226,0.4072,15.7106,0.1713,1.6617,3.5357,4.2411,0.7891,0.0095
